Export File Created with QBlade v0.963 64bit on 16.05.2021 at 12:34:27
         CD = 1.2      360 Polar     T1_Re0.050_M0.00_N9.0 360 M
Alpha [deg];Cd;Alpha [deg];Cd;
    -2,20000e+01;     1,20000e+00;    -2,20000e+01;     2,42052e-01;
    -2,10000e+01;     1,20000e+00;    -2,10000e+01;     2,22058e-01;
    -2,00000e+01;     1,20000e+00;    -2,00000e+01;     2,02811e-01;
    -1,90000e+01;     1,20000e+00;    -1,90000e+01;     1,84336e-01;
    -1,80000e+01;     1,20000e+00;    -1,80000e+01;     1,66658e-01;
    -1,70000e+01;     1,20000e+00;    -1,70000e+01;     1,49800e-01;
    -1,60000e+01;     1,20000e+00;    -1,60000e+01;     1,33787e-01;
    -1,50000e+01;     1,20000e+00;    -1,50000e+01;     1,18639e-01;
    -1,40000e+01;     1,20000e+00;    -1,40000e+01;     1,04378e-01;
    -1,30000e+01;     1,20000e+00;    -1,30000e+01;     9,10237e-02;
    -1,20000e+01;     1,20000e+00;    -1,20000e+01;     7,85951e-02;
    -1,10000e+01;     1,20000e+00;    -1,10000e+01;     6,71098e-02;
    -1,00000e+01;     1,20000e+00;    -1,00000e+01;     1,38766e-01;
    -9,00000e+00;     1,20000e+00;    -9,50000e+00;     1,36892e-01;
    -8,00000e+00;     1,20000e+00;    -9,00000e+00;     1,39183e-01;
    -7,00000e+00;     1,20000e+00;    -8,50000e+00;     1,41300e-01;
    -6,00000e+00;     1,20000e+00;    -8,00000e+00;     1,23936e-01;
    -5,00000e+00;     1,20000e+00;    -7,50000e+00;     1,24376e-01;
    -4,00000e+00;     1,20000e+00;    -7,00000e+00;     1,26606e-01;
    -3,00000e+00;     1,20000e+00;    -6,50000e+00;     1,13902e-01;
    -2,00000e+00;     1,20000e+00;    -6,00000e+00;     1,11915e-01;
    -1,00000e+00;     1,20000e+00;    -5,50000e+00;     1,15290e-01;
     0,00000e+00;     1,20000e+00;    -5,00000e+00;     1,02723e-01;
     1,00000e+00;     1,20000e+00;    -4,50000e+00;     9,82690e-02;
     2,00000e+00;     1,20000e+00;    -4,00000e+00;     9,21488e-02;
     3,00000e+00;     1,20000e+00;    -3,50000e+00;     8,73317e-02;
     4,00000e+00;     1,20000e+00;    -3,00000e+00;     8,13622e-02;
     5,00000e+00;     1,20000e+00;    -2,50000e+00;     7,61961e-02;
     6,00000e+00;     1,20000e+00;    -2,00000e+00;     7,14275e-02;
     7,00000e+00;     1,20000e+00;    -1,50000e+00;     6,79533e-02;
     8,00000e+00;     1,20000e+00;    -1,00000e+00;     4,80273e-02;
     9,00000e+00;     1,20000e+00;    -5,00000e-01;     4,39427e-02;
     1,00000e+01;     1,20000e+00;     0,00000e+00;     4,22927e-02;
     1,10000e+01;     1,20000e+00;     5,00000e-01;     4,16546e-02;
     1,20000e+01;     1,20000e+00;     1,00000e+00;     3,86955e-02;
     1,30000e+01;     1,20000e+00;     1,50000e+00;     4,11698e-02;
     1,40000e+01;     1,20000e+00;     2,00000e+00;     4,49186e-02;
     1,50000e+01;     1,20000e+00;     2,50000e+00;     4,77984e-02;
     1,60000e+01;     1,20000e+00;     3,00000e+00;     5,00779e-02;
     1,70000e+01;     1,20000e+00;     3,50000e+00;     5,24717e-02;
     1,80000e+01;     1,20000e+00;     4,00000e+00;     5,46567e-02;
     1,90000e+01;     1,20000e+00;     4,50000e+00;     5,64314e-02;
     2,00000e+01;     1,20000e+00;     5,00000e+00;     5,80287e-02;
     2,10000e+01;     1,20000e+00;     5,50000e+00;     5,97196e-02;
     2,20000e+01;     1,20000e+00;     6,00000e+00;     6,09448e-02;
     2,30000e+01;     1,20000e+00;     6,50000e+00;     6,15653e-02;
     2,40000e+01;     1,20000e+00;     7,00000e+00;     6,10424e-02;
     2,50000e+01;     1,20000e+00;     7,50000e+00;     5,79569e-02;
     2,60000e+01;     1,20000e+00;     8,00000e+00;     4,55970e-02;
     2,70000e+01;     1,20000e+00;     8,50000e+00;     3,62130e-02;
     2,80000e+01;     1,20000e+00;     9,00000e+00;     3,78153e-02;
     2,90000e+01;     1,20000e+00;     9,50000e+00;     4,08552e-02;
     3,00000e+01;     1,20000e+00;     1,00000e+01;     4,47094e-02;
     3,10000e+01;     1,20000e+00;     1,05000e+01;     4,88657e-02;
     3,20000e+01;     1,20000e+00;     1,10000e+01;     5,37498e-02;
     3,30000e+01;     1,20000e+00;     1,15000e+01;     6,03386e-02;
     3,40000e+01;     1,20000e+00;     1,20000e+01;     6,63961e-02;
     3,50000e+01;     1,20000e+00;     1,25000e+01;     7,27640e-02;
     3,60000e+01;     1,20000e+00;     1,30000e+01;     8,17021e-02;
     3,70000e+01;     1,20000e+00;     1,35000e+01;     9,49268e-02;
     3,80000e+01;     1,20000e+00;     1,40000e+01;     1,14377e-01;
     3,90000e+01;     1,20000e+00;     1,45000e+01;     1,79850e-01;
     4,00000e+01;     1,20000e+00;     1,55000e+01;     2,19514e-01;
     4,10000e+01;     1,20000e+00;     1,60000e+01;     2,17395e-01;
     4,20000e+01;     1,20000e+00;     1,70000e+01;     2,36050e-01;
     4,30000e+01;     1,20000e+00;     1,75000e+01;     2,45811e-01;
     4,40000e+01;     1,20000e+00;     1,80000e+01;     2,54069e-01;
     4,50000e+01;     1,20000e+00;     1,85000e+01;     2,63609e-01;
     4,60000e+01;     1,20000e+00;     1,90000e+01;     2,83930e-01;
     4,70000e+01;     1,20000e+00;     1,95000e+01;     2,82606e-01;
     4,80000e+01;     1,20000e+00;     2,00000e+01;     2,92951e-01;
     4,90000e+01;     1,20000e+00;     2,10000e+01;     2,18747e-01;
     5,00000e+01;     1,20000e+00;     2,20000e+01;     2,41689e-01;
     5,10000e+01;     1,20000e+00;     2,30000e+01;     2,65084e-01;
     5,20000e+01;     1,20000e+00;     2,40000e+01;     2,88981e-01;
     5,30000e+01;     1,20000e+00;     2,50000e+01;     3,13412e-01;
     5,40000e+01;     1,20000e+00;     2,60000e+01;     3,38394e-01;
     5,50000e+01;     1,20000e+00;     2,70000e+01;     3,63932e-01;
     5,60000e+01;     1,20000e+00;     2,80000e+01;     3,90025e-01;
     5,70000e+01;     1,20000e+00;     2,90000e+01;     4,16662e-01;
     5,80000e+01;     1,20000e+00;     3,00000e+01;     4,43829e-01;
     5,90000e+01;     1,20000e+00;     3,10000e+01;     4,71507e-01;
     6,00000e+01;     1,20000e+00;     3,20000e+01;     4,99675e-01;
     6,10000e+01;     1,20000e+00;     3,30000e+01;     5,28306e-01;
     6,20000e+01;     1,20000e+00;     3,40000e+01;     5,57374e-01;
     6,30000e+01;     1,20000e+00;     3,50000e+01;     5,86849e-01;
     6,40000e+01;     1,20000e+00;     3,60000e+01;     6,16701e-01;
     6,50000e+01;     1,20000e+00;     3,70000e+01;     6,46898e-01;
     6,60000e+01;     1,20000e+00;     3,80000e+01;     6,77406e-01;
     6,70000e+01;     1,20000e+00;     3,90000e+01;     7,08190e-01;
     6,80000e+01;     1,20000e+00;     4,00000e+01;     7,39217e-01;
     6,90000e+01;     1,20000e+00;     4,10000e+01;     7,70450e-01;
     7,00000e+01;     1,20000e+00;     4,20000e+01;     8,01852e-01;
     7,10000e+01;     1,20000e+00;     4,30000e+01;     8,33386e-01;
     7,20000e+01;     1,20000e+00;     4,40000e+01;     8,65016e-01;
     7,30000e+01;     1,20000e+00;     4,50000e+01;     8,96703e-01;
     7,40000e+01;     1,20000e+00;     4,60000e+01;     9,28409e-01;
     7,50000e+01;     1,20000e+00;     4,70000e+01;     9,60096e-01;
     7,60000e+01;     1,20000e+00;     4,80000e+01;     9,91725e-01;
     7,70000e+01;     1,20000e+00;     4,90000e+01;     1,02326e+00;
     7,80000e+01;     1,20000e+00;     5,00000e+01;     1,05466e+00;
     7,90000e+01;     1,20000e+00;     5,10000e+01;     1,08588e+00;
     8,00000e+01;     1,20000e+00;     5,20000e+01;     1,11690e+00;
     8,10000e+01;     1,20000e+00;     5,30000e+01;     1,14766e+00;
     8,20000e+01;     1,20000e+00;     5,40000e+01;     1,17814e+00;
     8,30000e+01;     1,20000e+00;     5,50000e+01;     1,20829e+00;
     8,40000e+01;     1,20000e+00;     5,60000e+01;     1,23807e+00;
     8,50000e+01;     1,20000e+00;     5,70000e+01;     1,26746e+00;
     8,60000e+01;     1,20000e+00;     5,80000e+01;     1,29641e+00;
     8,70000e+01;     1,20000e+00;     5,90000e+01;     1,32489e+00;
     8,80000e+01;     1,20000e+00;     6,00000e+01;     1,35286e+00;
     8,90000e+01;     1,20000e+00;     6,10000e+01;     1,38029e+00;
     9,00000e+01;     1,20000e+00;     6,20000e+01;     1,40713e+00;
     9,10000e+01;     1,20000e+00;     6,30000e+01;     1,43337e+00;
     9,20000e+01;     1,20000e+00;     6,40000e+01;     1,45896e+00;
     9,30000e+01;     1,20000e+00;     6,50000e+01;     1,48388e+00;
     9,40000e+01;     1,20000e+00;     6,60000e+01;     1,50808e+00;
     9,50000e+01;     1,20000e+00;     6,70000e+01;     1,53155e+00;
     9,60000e+01;     1,20000e+00;     6,80000e+01;     1,55425e+00;
     9,70000e+01;     1,20000e+00;     6,90000e+01;     1,57616e+00;
     9,80000e+01;     1,20000e+00;     7,00000e+01;     1,59723e+00;
     9,90000e+01;     1,20000e+00;     7,10000e+01;     1,61746e+00;
     1,00000e+02;     1,20000e+00;     7,20000e+01;     1,63681e+00;
     1,01000e+02;     1,20000e+00;     7,30000e+01;     1,65526e+00;
     1,02000e+02;     1,20000e+00;     7,40000e+01;     1,67278e+00;
     1,03000e+02;     1,20000e+00;     7,50000e+01;     1,68936e+00;
     1,04000e+02;     1,20000e+00;     7,60000e+01;     1,70497e+00;
     1,05000e+02;     1,20000e+00;     7,70000e+01;     1,71959e+00;
     1,06000e+02;     1,20000e+00;     7,80000e+01;     1,73320e+00;
     1,07000e+02;     1,20000e+00;     7,90000e+01;     1,74579e+00;
     1,08000e+02;     1,20000e+00;     8,00000e+01;     1,75734e+00;
     1,09000e+02;     1,20000e+00;     8,10000e+01;     1,76784e+00;
     1,10000e+02;     1,20000e+00;     8,20000e+01;     1,77726e+00;
     1,11000e+02;     1,20000e+00;     8,30000e+01;     1,78561e+00;
     1,12000e+02;     1,20000e+00;     8,40000e+01;     1,79287e+00;
     1,13000e+02;     1,20000e+00;     8,50000e+01;     1,79902e+00;
     1,14000e+02;     1,20000e+00;     8,60000e+01;     1,80407e+00;
     1,15000e+02;     1,20000e+00;     8,70000e+01;     1,80801e+00;
     1,16000e+02;     1,20000e+00;     8,80000e+01;     1,81082e+00;
     1,17000e+02;     1,20000e+00;     8,90000e+01;     1,81251e+00;
     1,18000e+02;     1,20000e+00;     9,00000e+01;     1,81308e+00;
     1,19000e+02;     1,20000e+00;     9,10000e+01;     1,81252e+00;
     1,20000e+02;     1,20000e+00;     9,20000e+01;     1,81084e+00;
     1,21000e+02;     1,20000e+00;     9,30000e+01;     1,80804e+00;
     1,22000e+02;     1,20000e+00;     9,40000e+01;     1,80411e+00;
     1,23000e+02;     1,20000e+00;     9,50000e+01;     1,79907e+00;
     1,24000e+02;     1,20000e+00;     9,60000e+01;     1,79293e+00;
     1,25000e+02;     1,20000e+00;     9,70000e+01;     1,78568e+00;
     1,26000e+02;     1,20000e+00;     9,80000e+01;     1,77735e+00;
     1,27000e+02;     1,20000e+00;     9,90000e+01;     1,76793e+00;
     1,28000e+02;     1,20000e+00;     1,00000e+02;     1,75745e+00;
     1,29000e+02;     1,20000e+00;     1,01000e+02;     1,74591e+00;
     1,30000e+02;     1,20000e+00;     1,02000e+02;     1,73333e+00;
     1,31000e+02;     1,20000e+00;     1,03000e+02;     1,71973e+00;
     1,32000e+02;     1,20000e+00;     1,04000e+02;     1,70512e+00;
     1,33000e+02;     1,20000e+00;     1,05000e+02;     1,68953e+00;
     1,34000e+02;     1,20000e+00;     1,06000e+02;     1,67296e+00;
     1,35000e+02;     1,20000e+00;     1,07000e+02;     1,65545e+00;
     1,36000e+02;     1,20000e+00;     1,08000e+02;     1,63702e+00;
     1,37000e+02;     1,20000e+00;     1,09000e+02;     1,61768e+00;
     1,38000e+02;     1,20000e+00;     1,10000e+02;     1,59747e+00;
     1,39000e+02;     1,20000e+00;     1,11000e+02;     1,57641e+00;
     1,40000e+02;     1,20000e+00;     1,12000e+02;     1,55452e+00;
     1,41000e+02;     1,20000e+00;     1,13000e+02;     1,53184e+00;
